127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000516
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000384
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000343
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/css/myapp.css, HTTP/1.1, 200, 0.000411
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/font-awesome-4.4.0/css/font-awesome.min.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/jquery.js, HTTP/1.1, 200, 0.000377
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/css/calendar.css, HTTP/1.1, 200, 0.000382
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/calendar.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/web2py.js, HTTP/1.1, 200, 0.000379
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000375
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000503
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/ractive.min.js, HTTP/1.1, 404, 0.000293
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/js/share.js, HTTP/1.1, 200, 0.000412
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/images/twitter.png, HTTP/1.1, 200, 0.000560
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/images/facebook.png, HTTP/1.1, 200, 0.000502
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/images/gplus-32.png, HTTP/1.1, 200, 0.000408
127.0.0.1, 2015-12-09 15:16:15, GET, /Maps/static/images/favicon.ico, HTTP/1.1, 200, 0.000492
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/default/index, HTTP/1.1, 200, 0.011343
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000392
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000358
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000461
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000516
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000490
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000462
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000369
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000350
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000363
127.0.0.1, 2015-12-09 15:16:16, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000364
127.0.0.1, 2015-12-09 15:16:17, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000920
127.0.0.1, 2015-12-09 15:16:17, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.000367
127.0.0.1, 2015-12-09 15:16:17, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000368
127.0.0.1, 2015-12-09 15:16:17, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.000411
